CalfID,Pen,Block,Season_x,Phenotype,Growth,Milk,MBW,ADG,ODMI,PDMI,RFI,GF,PADG,RADG,DamID,Sire,Genotype,Sex,Day,Timepoint,Season_y,Year,Weight (kg),ConA Proliferation Index,LPS Proliferation Index,PWM Proliferation Index,Plasma Cortisol (ng/ml),IgG1 (ng/ml),IgG2 (ng/ml),IgM (ng/ml),IgG1 to IgG2,Total IgG (ng/ml),WBC,NEU,LYM,NLR,MONO,EOS,BAS,NEU%,LYM%,MONO%,EOS%,BAS%,RBC,HGB,HCT,MCV,MCH,MCHC,RDW%,PLT,MPV,IFNy,IL1a,IL1B,IL4,IL6,IL10,IL17A,MIP1alpha,IL36R,IP10,MCP1,MIP1b,TNFa,VEGFa,BHV1,BHV1_Log,BVDV1,BVDV1_Log,BRSV,BRSV_Log
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,Brand,1,Fall,2022,155.25,0.5557817589576548,1.0801026225769668,.,5.3,10.663112002,2.7438883620000003,1.158799202,3.886131866614185,13.407000364,10.58,1.53,8.33,0.1836734693877551,0.6,0.11,0.01,14.5,78.7,5.7,1,0.1,11.06,12.4,35.6,32.2,11.2,34.9,25.1,551,4.8,4.46,0.001,0.001,4.25,15.04,56.31,0.19,16.97,69.2,1005.75,398.69,78.51,87.45,39.24,4,2,64,6,.,.
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,Wean,2,Fall,2022,231.75,0.9927835051546393,0.27555192150449714,1.060391730141458,28.740000000000002,11.606910273,8.516076691,2.252756168,1.3629410225093992,20.122986964,14.48,3.75,9.83,0.3814852492370295,0.69,0.14,0.07,25.9,67.9,4.8,0.9,0.5,10.71,12.4,36.1,33.7,11.6,34.3,21.9,609,4.8,1.39,6.03,0.001,56.59,0.001,51.66,2.15,62.56,123.3,835.21,522.19,98.13,228.81,50.48,<4,0,128,7,.,.
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,14DPW,3,Fall,2022,272.25,0.9266055045871558,1.116392443631932,0.905579399141631,7.686,11.490058144999999,8.490537605,1.892776912,1.353278046637896,19.98059575,12.94,3.92,8.38,0.467780429594272,0.45,0.13,0.06,30.3,64.7,3.6,1,0.4,9.95,11.5,33.5,33.6,11.6,34.4,21.3,566,4.9,0.35,3.19,0.001,16.83,0.001,41.67,0.71,30.87,65.43,529.79,530.89,100.62,219.5,64.48,8,3,256,8,.,.
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,60DPW,4,Fall,2022,314.1,3.3880407124681935,1.2738238841978284,1.67078410311493,6.385,11.710541712,10.566375825,2.130425921,1.1082836637603697,22.276917537,12.61,3.46,8.26,0.4188861985472155,0.55,0.26,0.08,27.4,65.5,4.3,2.1,0.7,9.44,11.9,32.3,34.2,12.6,36.8,22,561,4.8,3.03,12.18,54.57,104.71,7.53,69.07,13.59,79.98,117.56,483.84,548.49,61.05,824.92,46.26,<4,0,512,9,.,.
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,28DF,5,Fall,2022,373.5,0.905188837834809,0.919190680564071,1.012683201803833,27.330000000000002,10.417765786,10.005363178,3.1607062480000003,1.0412181547699138,20.423128964,8.36,1.76,5.87,0.29982964224872233,0.54,0.18,0.01,21,70.3,6.4,2.1,0.2,7.67,10.7,29.5,38.4,14,36.4,29.7,100,5.6,3.1,19.8,0.001,18.48,19.32,158.44,1.2,125.54,104.03,414.02,857.15,161.63,1597.58,79.05,<4,0,1024,10,.,.
2523,3,2304,Fall,HH,H,H,101.1619184,1.668831169,11.91408451,14.90677647,-2.992691963,0.140072128,1.155206396,0.513624773,7501,Regiment,HH,S,Brand,1,Fall,2022,162,.,.,.,8.236,12.47515891,4.038402154,1.169105305,3.089132393029127,16.513561064,10.74,2.29,7.73,0.296248382923674,0.59,0.1,0.03,21.3,72,5.6,0.9,0.2,10.58,11.9,35.2,33.3,11.2,33.7,21.1,639,5.3,4.49,0.09,0.001,23.07,0.001,90.63,0.96,20.67,98.11,1282,569.21,79.59,116.12,42.66,64,6,128,7,.,.
2523,3,2304,Fall,HH,H,H,101.1619184,1.668831169,11.91408451,14.90677647,-2.992691963,0.140072128,1.155206396,0.513624773,7501,Regiment,HH,S,Wean,2,Fall,2022,238.5,1.1712139185448793,1.0385029617662898,1.0604370060437007,16.66,11.47556818,8.364088205,2.6396766510000003,1.3720046822485656,19.839656384999998,10.88,2.39,7.73,0.3091849935316947,0.53,0.17,0.06,22,71.1,4.8,1.5,0.6,10.08,12.5,36.1,35.8,12.4,34.5,21.8,673,5.3,7.92,15.56,0.001,28.62,2.11,83.67,0.46,102.16,125.4,743.37,668.42,89.52,669.6,43.31,8,3,32,5,.,.
2523,3,2304,Fall,HH,H,H,101.1619184,1.668831169,11.91408451,14.90677647,-2.992691963,0.140072128,1.155206396,0.513624773,7501,Regiment,HH,S,14DPW,3,Fall,2022,265.5,1.0322477240671881,1.0927885798670929,0.8936170212765958,6.257000000000001,9.924140558,7.420747438,2.6321735729999998,1.3373505352278503,17.344887996,12.31,3.68,7.84,0.46938775510204084,0.53,0.2,0.06,29.9,63.7,4.3,1.6,0.5,9.06,11,32.7,36.1,12.2,33.7,21.4,724,5.5,3.85,16.05,0.001,34.96,0.001,73.01,3.29,109.47,161.96,527.16,582.91,60.17,838.62,51.24,8,3,32,5,.,.
2523,3,2304,Fall,HH,H,H,101.1619184,1.668831169,11.91408451,14.90677647,-2.992691963,0.140072128,1.155206396,0.513624773,7501,Regiment,HH,S,60DPW,4,Fall,2022,289.35,1.4154078549848945,2.716814159292036,3.214108910891089,34.04,11.024933962999999,9.746628261,2.569130185,1.1311536325967197,20.771562224,13.98,3.66,9.35,0.3914438502673797,0.62,0.28,0.07,26.2,66.9,4.4,2,0.5,9.4,12.4,34.5,36.7,13.2,35.9,21.8,762,5.5,3.29,17.21,0.001,27.28,4.29,68.37,2.49,114.08,170.21,869.28,588.11,46.49,728.98,54.16,<4,0,8,3,.,.
2523,3,2304,Fall,HH,H,H,101.1619184,1.668831169,11.91408451,14.90677647,-2.992691963,0.140072128,1.155206396,0.513624773,7501,Regiment,HH,S,28DF,5,Fall,2022,360,0.8401477518787414,1.1796844940361677,1.0373983739837396,13.49,7.992676962,8.580294346999999,1.892776912,0.9315154747336316,16.572971309,11.62,4.48,6.11,0.7332242225859248,0.89,0.12,0.02,38.5,52.6,7.7,1,0.2,8.73,11.8,33.8,38.7,13.5,34.8,24.1,668,6.1,9.74,13.78,0.001,18.48,46.93,107.35,1.68,153.77,102.61,886.68,888.63,190.87,633.06,68.17,<4,0,<8,0,.,.
